テーマＩＤ,問題ＩＤ,,タイトル,問題本文,解説,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
9,2,,混触による低圧側の危険防止（1）,*高圧電路又は特別高圧電路*と*低圧電路*とを*結合*する*変圧器*には{1}を施すこと。,電技解釈第24条（高圧又は特別高圧と低圧との混触による危険防止施設）より,B種接地工事/A種接地工事/C種接地工事/D種接地工事,,,,,,,,,
9,3,,混触による低圧側の危険防止（2）,*高圧電路*又は*特別高圧電路*と*低圧電路*とを*結合*する*変圧器*に施す*B種接地工事*は、次の*いずれか*によること。!（A）{1}に施す。!（B）*低圧電路*の*使用電圧*が{2}の場合において、*接地工事*を{1}に施し難いときは{3}に施す。!（C）*低圧電路*が*非接地*である場合においては、*高圧巻線又は特別高圧巻線*と*低圧巻線*との間に設けた{4}に施す。,電技解釈第24条（高圧又は特別高圧と低圧との混触による危険防止施設）より,低圧側の中性点/低圧側の1端子/低圧側のS相,300V以下/150V以下/100V以下/450V以下,低圧側の1端子/低圧側の電圧相/低圧側のS相,金属製の#混触防止板/絶縁性の#混触防止板,,,,,,
9,4,,混触による低圧側の危険防止（3）,*高圧電路*又は*特別高圧電路*と*低圧電路*とを*結合*する*変圧器*に施す*B種接地工事*の*接地抵抗値*は、*１線地絡電流*による*計算*で求めた*接地抵抗値*の*規定値*にかかわらず{1}であることを要しない。,電技解釈第24条（高圧又は特別高圧と低圧との混触による危険防止施設）より!*配電線路*の*電線延長等*により*1線地絡電流*が算出される場合、その値によっては*B種接地抵抗*の*規定値*が*小さくなる*ことが想定されるが、その規定値にかかわらず*5Ω未満*にならないと規定される。,5Ω未満/10Ω未満/30Ω未満/2Ω未満,,,,,,,,,
9,5,,混触による高圧側の危険防止（1）,*変圧器*によって*特別高圧*の電路に*結合*される*高圧*の電路には、*特別高圧*の*電圧の侵入*による*高圧側*の*電気設備の損傷*、*感電*又は*火災*のおそれがないよう{1}*の施設*その他の*適切な措置*を講じなければならない。,電技省令第12条（特別高圧電路等と結合する変圧器等の火災等の防止）より,接地を施した#放電装置/過電流遮断器/過電圧継電器/警報装置,,,,,,,,,
9,6,,混触による高圧側の危険防止（2）,*変圧器*によって*特別高圧電路*※に結合される*高圧電路*には、*使用電圧*の{1}の*電圧*が加わったときに*放電する装置*を、その*変圧器*の*端子*に近い*1極*に設けること。!ただし、*使用電圧*の{1}の*電圧*が加わったときに*放電*する*避雷器*を*高圧電路*の*母線*に施設する場合は、この限りでない。!また、*放電する装置*には{2}を施すこと。,電技解釈第25条（特別高圧と高圧との混触等による危険防止施設）より!※*15\000V以下の特別高圧架空電線路の施設*の規定によるものを除く。,3倍以下/2倍以下/5倍以下/10倍以下,A種接地工事/B種接地工事/C種接地工事/D種接地工事,,,,,,,,
9,7,,電技省令第１４条,*電路の必要な箇所*には、*過電流*による*過熱焼損*から*電線*及び*電気機械器具*を*保護*し、かつ、*火災の発生*を防止できるよう{1}を施設しなければならない。,電技省令第14条（過電流からの電線及び電気機械器具の保護対策）より,過電流遮断器/短絡遮断器/過負荷遮断器/配線用遮断器,,,,,,,,,
9,8,,過電流遮断器（1）,*低圧電路*に施設する*過電流遮断器*は、これを*施設する箇所*を*通過*する{1}を*遮断する能力*を有するものであること。!ただし、当該箇所を通過する*最大*{1}が{2}を*超える場合*において、*過電流遮断器*として{2}*以上*の{1}を*遮断する能力*を有する*配線用遮断器*を施設し、当該箇所より{3}*の電路*に当該*配線用遮断器*の{1}を*遮断する能力を超える*{1}を当該*配線用遮断器*より*早く*、又は*同時*に*遮断する能力*を有する*過電流遮断器*を施設するときは、この限りでない。,電技解釈第33条（低圧電路に施設する過電流遮断器の性能等）より!基本的に*過電流遮断器*は、*施設する箇所*において*流れうる最大の短絡電流*を*遮断できる能力*（*遮断容量*）を有しなければならないが、*最大短絡電流*が*大きい場合*において、*負荷側ＭＣＣＢ*の*遮断容量*以上の電流が流れた際に、*遮断容量*の大きい*電源側ＭＣＣＢ*が、*遮断容量*の足りない*負荷側ＭＣＣＢ*より*早く又は同時*に動作し、この電流を遮断できるよう*動作協調*がとれていれば良いとしている。,短絡電流/負荷電流/過負荷電流/無負荷電流,10\000A/4\000A/12\500A/8\000A,電源側/負荷側,,,,,,,
9,9,,過電流遮断器（2）,*過電流遮断器*として*低圧電路*に施設する*ヒューズ*は、*水平*に取り付けた場合において、*次に適合*するものであること。!①*定格電流*の{1}の*電流*に*耐えること*。!②*定格電流*の区分に応じ、次に掲げる*時間内*に*溶断*すること。!*定格電流*が*30A以下*の場合#{2}の*電流*で*60分以内*に、{3}の*電流*で*2分以内*に*溶断*すること。!*定格電流*が*30Aを超え60A以下*の場合#{2}の*電流*で*60分以内*に、{3}の*電流*で*4分以内*に*溶断*すること。!*定格電流*が*60Aを超え100A以下*の場合#{2}の*電流*で*120分以内*に、{3}の*電流*で*6分以内*に*溶断*すること。,電技解釈第33条（低圧電路に施設する過電流遮断器の性能等）より,1.1倍/1.0倍/1.6倍/2.0倍,1.6倍/1.25倍/1.3倍/2.0倍,2.0倍/5.0倍/2.5倍/3.0倍,,,,,,,
9,10,,過電流遮断器（3）,*過電流遮断器*として*低圧電路*に施設する*配線用遮断器*は、*次に適合*するものであること。!①*定格電流*の{1}の*電流*で*自動的に動作しない*こと。!②*定格電流*の区分に応じ、次に掲げる*時間内*に*自動的に動作する*こと。!*定格電流*が*30A以下*の場合#{2}の*電流*で*60分以内*に、{3}の*電流*で*2分以内*に*自動的に動作する*こと。!*定格電流*が*30Aを超え50A以下*の場合#{2}の*電流*で*60分以内*に、{3}の*電流*で*4分以内*に*自動的に動作する*こと。!*定格電流*が*50Aを超え100A以下*の場合#{2}の*電流*で*120分以内*に、{3}の*電流*で*6分以内*に*自動的に動作する*こと。,電技解釈第33条（低圧電路に施設する過電流遮断器の性能等）より,1.0倍/1.1倍/1.3倍/1.25倍,1.25倍/1.1倍/1.3倍/1.6倍,2.0倍/1.5倍/1.8倍/2.5倍,,,,,,,
9,11,,過電流遮断器（4）,*高圧又は特別高圧*の電路に施設する*過電流遮断器*は、次に適合するものであること。!①*電路*に{1}を生じたときに作動するものにあっては、これを施設する箇所を通過する*{1}電流*を*遮断する能力*を有すること。!②その作動に伴いその{2}を*表示する装置*を有すること。ただし、その{2}を*容易に確認*できるものは、この限りでない。,電技解釈第34条（高圧又は特別高圧の電路に施設する過電流遮断器の性能等）より,短絡/過負荷,開閉状態/電流値/危険/動作履歴,,,,,,,,
9,12,,過電流遮断器（5）,*過電流遮断器*として*高圧電路*に施設する*包装ヒューズ*は、次の*いずれか*のものであること。|（A）*定格電流*の{1}の*電流*に*耐え*、かつ、*2.0倍*の*電流*で{2}に*溶断*するものであること。|（B）*日本産業規格*の「{3}」に*適合*するものであること。,電技解釈第34条（高圧又は特別高圧の電路に施設する過電流遮断器の性能等）より,1.3倍/1.25倍/1.1倍/1.6倍,120分以内/60分以内/2分以内/10分以内,高圧限流#ヒューズ/高圧非限流#ヒューズ/配線用#ヒューズ/栓形#ヒューズ,,,,,,,
9,13,,過電流遮断器（6）,*過電流遮断器*として*高圧電路*に施設する*非包装ヒューズ*は、*定格電流*の{1}の*電流*に*耐え*、かつ、*2.0倍*の*電流*で{2}に*溶断*するものであること。,電技解釈第34条（高圧又は特別高圧の電路に施設する過電流遮断器の性能等）より,1.25倍/1.3倍/1.1倍/1.6倍,2分以内/10分以内/60分以内/120分以内,,,,,,,,
9,14,,過電流遮断器を施設しない箇所,*次に掲げる箇所*には、*過電流遮断器*を*施設しないこと*!①{1}!②*多線式電路*の{2}!③第24条（*高圧又は特別高圧と低圧との混触による危険防止施設*）の規定により、*電路*の*一部*に*接地工事*を施した*低圧電線路*の{3}|ただし、次の*いずれか*に該当する場合は、前項の規定によらないことができる。!（A）*多線式電路*の{2}に施設した*過電流遮断器*が動作した場合において{4}されるとき!（B）第19条（*保安上又は機能上必要な場合における電路の接地*）の規定により*抵抗器*、*リアクトル*等を使用して*接地工事*を施す場合において、*過電流遮断器*の動作により当該*接地線*が*非接地状態*にならないとき,電技解釈第35条（過電流遮断器の施設の例外）より,接地線/電圧線/制御線/引込口,中性線/電圧線,接地側電線/非接地側電線,各極が同時に#遮断/高速度で遮断/後備保護より#後に遮断,,,,,,
9,15,,電技省令第１５条,*電路*には、*地絡*が生じた場合に、*電線*若しくは*電気機械器具*の*損傷*、*感電*又は*火災*のおそれがないよう{1}の施設その他の適切な措置を講じなければならない。!ただし、*電気機械器具*を*乾燥した場所*に施設するなど、*地絡*による*危険のおそれ*がない場合は、この限りでない。,電技省令第15条（地絡に対する保護対策）より!電技省令でいう*地絡遮断器*は*漏電遮断器*や*地絡継電器*＋*遮断器*等、*地絡を遮断する装置*全般を示す。,地絡遮断器/漏電遮断器/地絡継電器/漏電火災警報器,,,,,,,,,
9,16,,低圧電路の地絡遮断装置の施設（1）,{1}を有する*使用電圧*が{2}を超える*低圧*の*機械器具*に接続する*電路*には、*電路*に*地絡*を生じたときに*自動的に電路を遮断する装置*を施設すること。!ただし、*施設場所*や*機械器具*等により*施設の例外*がある。,電技解釈第36条（地絡遮断装置の施設）より!*漏電遮断器*等を設置することが規定される。!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,金属製外箱/樹脂製外箱/絶縁性外箱/木製外箱,60V/100V/30V/150V,,,,,,,,
9,17,,低圧電路の地絡遮断装置の施設（2）,*高圧又は特別高圧*の電路と*変圧器*によって結合される、*使用電圧*が*{1}を超える低圧*の電路には、電路に*地絡*を生じたときに*自動的に電路を遮断する装置*を施設すること。!ただし、当該*低圧電路*が次の*いずれか*のものである場合はこの限りでない。!（A）*発電所*又は*変電所*若しくは*これに準ずる場所*にある*電路*!（B）*電気炉*、*電気ボイラー*又は*電解槽*であって、*大地*から*絶縁*することが*技術上困難*なものに*電気*を*供給*する*専用の電路*,電技解釈第36条（地絡遮断装置の施設）より!*使用電圧300V超過*の*400V回路*等においては、*変電室*等から*引出口付近*までに*地絡遮断装置*を施設し、*電線路*等の*電源側電路*の*地絡*を*遮断*できるようにしなければならない。,300V/150V/450V/200V,,,,,,,,,
9,18,,低圧電路の地絡遮断装置の省略（1）,*機械器具*に{1}を施す場合は*地絡遮断装置*を*省略*できる。,電技解釈第36条（地絡遮断装置の施設）より!※*金属製*のものであって、*防護措置*を施す*機械器具*と*電気的に接続*するおそれがあるもので*防護*する方法を*除く*。!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,簡易接触#防護措置/接触防護措置,,,,,,,,,
9,19,,低圧電路の地絡遮断装置の省略（2）,*機械器具*を次の*いずれかの場所*に施設する場合は*地絡遮断装置*を*省略*できる。!（A）{1}!（B）*機械器具*の*対地電圧*が*150V以下*の場合においては{2}!（C）*発電所*又は*変電所*、*開閉所*若しくは{3},電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,乾燥した場所/水気のある場所#以外の場所/湿気の多い場所#以外の場所/湿気の多い場所,水気のある場所#以外の場所/乾燥した場所#以外の場所/湿気の多い場所#以外の場所/湿気の多い場所/水気のある場所,これらに#準ずる場所/需要場所/電線路/電気使用場所,,,,,,,
9,20,,低圧電路の地絡遮断装置の省略（3）,*機械器具*が、次の*いずれか*に該当するものである場合は*地絡遮断装置*を*省略*できる。!（A）*電気用品安全法*の適用を受ける*{1}構造*のもの!（B）*ゴム*、*合成樹脂*その他の{2}したもの!（C）{3}の*2次側電路*に接続されるもの!（D）第13条（*絶縁できないことがやむを得ない部分*）の規定に掲げるもの,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,２重絶縁/基礎絶縁/付加絶縁/強化絶縁,絶縁物で被覆/樹脂製のもの#で被覆/めっき加工,誘導電動機/計器用変圧器/計器用変流器/コンバータ電源,,,,,,,
9,21,,低圧電路の地絡遮断装置の省略（4）,*機械器具*に施された*C種接地工事*又は*D種接地工事*の*接地抵抗値*が{1}の場合は*地絡遮断装置*を*省略*できる。,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,3Ω以下/2Ω以下/5Ω以下/10Ω以下,,,,,,,,,
9,22,,低圧電路の地絡遮断装置の省略（5）,*電路*の*系統電源側*に*機械器具側の線間電圧*が{1}の*絶縁変圧器*を施設するとともに、当該*絶縁変圧器*の*機械器具側*の*電路*を{2}*場合*は*地絡遮断装置*を*省略*できる。,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,300V以下/150V以下/450V以下/100V以下,非接地とする/接地する,,,,,,,,
9,23,,低圧電路の地絡遮断装置の省略（6）,*機械器具内*に*電気用品安全法*の適用を受ける{1}を取り付け、かつ、*電源引出部*が*損傷*を受けるおそれがないように施設する場合は*地絡遮断装置*を*省略*できる。,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,漏電遮断器/地絡時に警報#を発する装置/過電流遮断器,,,,,,,,,
9,24,,低圧電路の地絡遮断装置の省略（7）,*機械器具*を*太陽電池モジュール*に接続する*直流電路*に施設し、かつ、当該*電路*が*次に適合*する場合は*地絡遮断装置*を*省略*できる。!①*直流電路*は{1}こと。!②*直流電路*に接続する*逆変換装置*の*交流側*に{2}を施設すること。!③*直流電路*の*対地電圧*は{3}であること。,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,非接地である/接地されている,絶縁変圧器/直流検出装置/地絡検出装置,450V以下/300V以下/600V以下/150V以下,,,,,,,
9,25,,低圧電路の地絡遮断装置の省略（8）,*電路*が{1}である場合は*地絡遮断装置*を*省略*できる。,電技解釈第36条（地絡遮断装置の施設）より!ただし、*変圧器2次側*の*使用電圧*が*300V*を超える*低圧の電路*、*電路*が第143条第1項ただし書（*対地電圧が150Vを超える住宅の屋内電路*）、第165条（*特殊な低圧屋内配線工事*）、第178条（*火薬庫の電気設備の施設*）等、その他*特定の施設方法*として*別に地絡遮断装置の施設が規定される場合*は*当該電路に適用される規定*によること。,管灯回路/照明回路/LED駆動回路,,,,,,,,,
9,26,,高圧電路等の地絡遮断装置の施設（1）,*高圧又は特別高圧*の電路には、*次の箇所*又はこれに*近接する箇所*に、*電路*に*地絡*を生じたときに*自動的に電路を遮断する装置*を施設すること。!①*他の者*から*供給*を受ける{1}!②*発電所*又は*変電所*若しくは*これに準ずる場所*の{2}!③{3}の*設置箇所*,電技解釈第36条（地絡遮断装置の施設）より,受電点/変圧器の#電源側接続点/引込ケーブルの#電源側接続点/計器用変成器の#電源側接続点,引出口/引込口/母線連絡箇所,配電用変圧器/ＳＶＲ/昇圧用変圧器/計器用変成器,,,,,,,
9,27,,高圧電路等の地絡遮断装置の施設（2）,*高圧電路*又は*特別高圧電路*の*地絡保護*について、*他の者*から*供給*を受ける*受電点*に施設する*地絡遮断装置*は、*受電点*の*{1}の電路*の*地絡保護*のために施設する。!ただし、*他の者*から*供給*を受ける*電気*を*全て*その*受電点*に属する*受電場所*において*変成*し、又は*使用*する場合を除く。,電技解釈第36条（地絡遮断装置の施設）より!*受電場所*から*同一の電圧*の線路が引き出されていない場合においては、*地絡遮断装置*を*施設*しなくてもよいことを示している。,負荷側/電源側,,,,,,,,,
9,28,,高圧電路等の地絡遮断装置の施設（3）,*高圧電路*又は*特別高圧電路*の*地絡保護*について、*発電所*又は*変電所*若しくは*これに準ずる場所*の*引出口*に施設する*地絡遮断装置*は、*発電所*又は*変電所*若しくは*これに準ずる場所*から*引出される電路*の*地絡保護*のために施設する。!ただし、*発電所*又は*変電所相互間*の*電線路*が、いずれか一方の*発電所*又は*変電所*の{1}と*みなされるもの*である場合において、*計器用変成器*を*母線*に施設すること等により、当該*電線路*に*地絡*を生じた場合に*電源側*の*電路を遮断する装置*を施設するときを除く。,電技解釈第36条（地絡遮断装置の施設）より,母線の延長/一部,,,,,,,,,
9,29,,高圧電路等の地絡遮断装置の施設（4）,*高圧電路*又は*特別高圧電路*の*地絡保護*について、*配電用変圧器*の*設置箇所*に施設する*地絡遮断装置*は、*配電用変圧器*の{1}の*電路*の*地絡保護*のために施設する。!ただし、*配電用変圧器*の{1}に*地絡*を生じた場合に、当該*配電用変圧器*の*施設箇所*の*電源側*の*発電所*又は*変電所*で当該*電路*を*遮断する装置*を施設するときは除く。,電技解釈第36条（地絡遮断装置の施設）より,負荷側/電源側,,,,,,,,,
9,30,,非常回路等の地絡保護の例外,*低圧又は高圧*の電路であって、*非常用照明装置*、*非常用昇降機*、*誘導灯*又は*鉄道用信号装置*その他その*停止*が{1}に*支障*を生じるおそれのある*機械器具*に*電気*を*供給*するものには、*電路*に*地絡*を生じたときにこれを{2}する*装置*を施設する場合は、*電路*に*地絡*を生じたときに*自動的に電路を遮断する装置*を施設することを*要しない*。,電技解釈第36条（地絡遮断装置の施設）より,公共の安全の確保/事業の継続/公共の利益の確保,技術員駐在所#に警報/限流,,,,,,,,
9,31,,電気事業用の電子計算機,*電気事業*の用に供する*電気工作物*の{1}する*電子計算機*は、当該*電気工作物*が*人体に危害*を及ぼし、又は*物件に損傷*を与えるおそれ及び*一般送配電事業*に係る*電気の供給*に*著しい支障*を及ぼすおそれがないよう{2}を確保しなければならない。,電技省令第15条の2（サイバーセキュリティの確保）より,運転を管理/点検を管理/状態を分析,サイバー#セキュリティ/情報の機密性/情報の完全性/情報の可用性,,,,,,,,
,,,,,,,,,,,,,,,
10,1,,供給支障の防止（1）,*高圧又は特別高圧*の*電気設備*は、その*損壊*により{1}の*電気の供給*に*著しい支障*を及ぼさないように施設しなければならない。,電技省令第18条（電気設備による供給支障の防止）より,一般送配電事業者/発電事業者/一般送電事業者/小売電気事業者,,,,,,,,,
10,2,,供給支障の防止（2）,*高圧又は特別高圧*の*電気設備*は、その*電気設備*が*一般送配電事業*の用に供される場合にあっては、その*電気設備*の*損壊*によりその*一般送配電事業*に係る{1}を生じないように施設しなければならない。,電技省令第18条（電気設備による供給支障の防止）より,電気の供給に#著しい支障/電気の供給に#継続的な支障/電気設備に#著しい損傷,,,,,,,,,
10,3,,供給支障の防止（3）,*発電機*、*燃料電池*又は{1}には、*当該電気機械器具*を*著しく損壊*するおそれがあり、又は*一般送配電事業*に係る*電気の供給*に*著しい支障*を及ぼすおそれがある{2}が*当該電気機械器具*に生じた場合に*自動的*にこれを*電路から遮断する装置*を施設しなければならない。,電技省令第44条（発変電設備等の損傷による供給支障の防止）より,常用電源として#用いる蓄電池/予備電源として#用いる蓄電池/非常用予備#発電装置/小出力発電設備,異常/熱/損傷/損壊,,,,,,,,
10,4,,供給支障の防止（4）,{1}の*変圧器*又は*調相設備*には、*当該電気機械器具*を*著しく損壊*するおそれがあり、又は*一般送配電事業*に係る*電気の供給*に*著しい支障*を及ぼすおそれがある*異常*が*当該電気機械器具*に生じた場合に*自動的*にこれを*電路から遮断する装置*の施設その他の*適切な措置*を講じなければならない。,電技省令第44条（発変電設備等の損傷による供給支障の防止）より,特別高圧/高圧又は#特別高圧/高圧/低圧又は高圧,,,,,,,,,
10,5,,特別高圧変圧器の保護装置（1）,*特別高圧の変圧器*には{1}に対し、*次の装置*を施設すること。!*変圧器*の*バンク容量*が*5\000kVA以上10\000kVA未満*の場合は{2}!*変圧器*の*バンク容量*が*10\000kVA以上*の場合は{3},電技解釈第43条（特別高圧の変圧器及び調相設備の保護装置）より!ただし、*変圧器*の*内部*に*故障*を生じた場合に、*当該変圧器の電源*となっている*発電機*を自動的に*停止*するように施設する場合においては、*当該発電機*の*電路から遮断する装置*を設けることを要しない。,変圧器の#内部故障/変圧器を#通過する過電流/変圧器の#異常電圧,自動遮断装置#又は警報装置/自動遮断装置/警報装置,自動遮断装置/自動遮断装置#又は警報装置/警報装置,,,,,,,
10,6,,特別高圧変圧器の保護装置（2）,{1}の*特別高圧用変圧器*には、*冷却装置*が*故障*した場合、又は*変圧器*の*温度*が*著しく上昇*した場合にこれを{2}を施設すること。,電技解釈第43条（特別高圧の変圧器及び調相設備の保護装置）より!*他冷式*とは、*変圧器の巻線*及び*鉄心*を*直接冷却*するため封入した*冷媒*を*強制循環*させる*冷却方式*をいう。,他冷式/自冷式,警報する装置/自動的に電路から#遮断する装置,,,,,,,,
10,7,,特別高圧調相設備の保護装置,*特別高圧*の*電力用コンデンサ*又は*分路リアクトル*には、*次の保護装置*を施設すること。!*バンク容量*が*500kvarを超え15\000kvar未満*の場合は、*内部*に*故障*を生じた場合に動作する装置又は{1}を生じた場合に動作する装置!*バンク容量*が*15\000kvar以上*の場合は、*内部*に*故障*を生じた場合に動作する装置及び{2}を生じた場合に動作する装置,電技解釈第43条（特別高圧の変圧器及び調相設備の保護装置）より,過電流/過電流#又は過電圧/過電圧/不足電圧,過電流#又は過電圧/過電流/過電圧/過電流#又は過熱,,,,,,,,
10,8,,蓄電池の保護装置,*発電所*又は*変電所*若しくは*これに準ずる場所*に施設する*蓄電池*には、次に掲げる場合に、*自動的*にこれを*電路から遮断する装置*を施設すること。!ただし、*非常用予備電源*として用いるものを*除く*。!①*蓄電池*に{1}が生じた場合!②*蓄電池*に{2}が生じた場合!③{3}に*異常*が生じた場合!④*内部温度*が{4}のものにあっては、*断熱容器*の*内部温度*が*著しく上昇*した場合,電技解釈第44条（蓄電池の保護装置）より,過電圧/地絡/電圧低下,過電流/短絡/損傷,制御装置/外箱/出力,高温/低温/中温,,,,,,
10,9,,発電機等の機械的強度（1）,*発電機*、*変圧器*、*調相設備*並びに*母線*及びこれを支持する*がいし*は{1}により生ずる*機械的衝撃*に*耐えるもの*でなければならない。,電技省令第45条（発電機等の機械的強度）より,短絡電流/異常電圧/物体の衝突/直撃雷,,,,,,,,,
10,10,,発電機等の機械的強度（2）,*水車*又は*風車*に接続する*発電機*の*回転する部分*は*{1}場合*に起こる*速度*に対し、*耐えるもの*でなければならない。,電技省令第45条（発電機等の機械的強度）より,負荷を遮断した/負荷が増加した/負荷が減少した,,,,,,,,,
10,11,,発電機等の機械的強度（3）,*蒸気タービン*、*ガスタービン*又は*内燃機関*に接続する*発電機*の*回転する部分*は{1}が*動作*して達する*速度*に対し、*耐えるもの*でなければならない。,電技省令第45条（発電機等の機械的強度）より,非常停止装置等/自動電圧調整装置/調速装置,,,,,,,,,
10,12,,発電所の常時監視,*異常*が生じた場合に*人体に危害*を及ぼし、若しくは*物件に損傷*を与えるおそれがないよう、*異常の状態*に応じた*制御*が必要となる*発電所*、又は*一般送配電事業*に係る*電気の供給*に*著しい支障*を及ぼすおそれがないよう、*異常*を*早期に発見*する必要のある*発電所*であって、*発電所の運転*に必要な{1}が当該*発電所*又はこれと*同一の構内*において*常時監視*をしないものは、*施設してはならない*。,電技省令第46条（常時監視をしない発電所等の施設）より!*常時監視*をしなければならない*発電所*について規定する。,知識及び技能#を有する者/資格を有する者/実務経験#を有する者/教育を#受けた者,,,,,,,,,
10,13,,常時監視をしない発変電所等,*発電所*又は*変電所*の*運転*に必要な*知識及び技能*を有する者が*当該発電所*若しくはこれと*同一の構内*又は*変電所*において*常時監視*をしない*発電所*又は*変電所*は、*非常用予備電源*を除き、*異常*が生じた場合に{1}することができるような*措置*を講じなければならない。!※*変電所に準ずる場所*であっても{2}を*超える**特別高圧*の電気を*変成*するためのものは、この規定による*措置*を講じなければならない。,電技省令第46条（常時監視をしない発電所等の施設）より!*常時監視*を必要と規定する*発電所以外*の*発電所*及び*変電所*については、一定の条件を付すことにより*常時監視*を*不要*とするが、*異常*が生じた場合に*安全に停止*できなければならないことを規定している。,安全かつ#確実に停止/警報を発報/被害を抑制/早期に復旧,10万V/5万V/17万V/1万V,,,,,,,,
10,14,,技術員の定義,「*技術員*」とは、*設備*の*運転*又は*管理*に必要な*{1}*をいう。,電技解釈第1条（用語の定義）より,知識及び技能#を有する者/資格#を有する者/教育を#受けた者/実務経験#を有する者,,,,,,,,,
10,15,,発電所の監視制御方式（1）,「*随時巡回方式*」とは、*技術員*が*適当な間隔*をおいて*発電所*を*巡回*し{1}を行うものをいう。,電技解釈第47条（常時監視をしない発電所の施設）より,運転状態#の監視/発電設備の制御,,,,,,,,,
10,16,,発電所の監視制御方式（2）,「*随時監視制御方式*」は、*技術員*が{1}*発電所*に出向き、*運転状態の監視*又は*制御*その他必要な措置を行うものをいう。,電技解釈第47条（常時監視をしない発電所の施設）より,必要に応じて/断続的に/適当な間隔で,,,,,,,,,
10,17,,発電所の監視制御方式（3）,「*遠隔常時監視制御方式*」は、*技術員*が{1}に*常時駐在*し、*発電所*の*運転状態の監視*及び*制御*を*遠隔*で行うものをいう。,電技解釈第47条（常時監視をしない発電所の施設）より,制御所/技術員駐在所,,,,,,,,,
10,18,,発電所の監視制御方式（4）,*水力発電所*を*随時巡回方式*により施設する場合、*発電所出力*{1},電技解釈第47条（常時監視をしない発電所の施設）より,は2\000kW未満#であること/に制限はない/は5\000kW未満#であること/は500kW未満#であること,,,,,,,,,
10,19,,発電所の監視制御方式（5）,*風力発電所*を*随時巡回方式*により施設する場合、*発電所出力*{1},電技解釈第47条（常時監視をしない発電所の施設）より,に制限はない/は3\000kW未満#であること/は10\000kW未満#であること/は500kW未満#であること,,,,,,,,,
10,20,,発電所の監視制御方式（6）,*太陽電池発電所*を*随時巡回方式*により施設する場合、*発電所出力*{1},電技解釈第47条（常時監視をしない発電所の施設）より,に制限はない/は2\000kW未満#であること/は5\000kW未満#であること/は500kW未満#であること,,,,,,,,,
